id|title|authors|arxiv_primary_category|summary|published|updated|general_category
http://arxiv.org/abs/1009.2827v1|Fading of the X-ray flux from the black hole in the NGC 4472 globular   cluster RZ 2109|Thomas J. Maccarone;Arunav Kundu;Stephen E. Zepf;Katherine L. Rhode|astro-ph.HE|"We present the results of new X-ray observations of XMMU 122939.7+075333, the black hole (BH) in the globular cluster RZ 2109 in the Virgo Cluster galaxy NGC 4472. A combination of non-detections and marginal detections in several recent Swift and Chandra observations show that the source has varied by at least a factor of 20 in the past 6 years, and that the variations seem not just to be ""flickering."" This variation could be explained with changes in the absorption column intrinsic to the source no larger than those which were previously seen near the peak of the 1989 outburst of the Galactic BH X-ray binary V404 Cyg. The large amplitude variations are also a natural expectation from a hierarchical triple system with Kozai cycles -- the mechanism recently proposed to produce BH-white dwarf (WD) binaries in globular clusters. On the other hand, variation by such a large factor on timescales of years, rather than centuries, is very difficult to reconcile with the scenario in which the X-ray emission from XMMU 122939.7+075333 is due to fallback of material from a tidally destroyed or detonated WD."|2010-09-15T03:48:55Z|2010-09-15T03:48:55Z|astro-ph
http://arxiv.org/abs/1310.7522v2|Protrusion fluctuations direct cell motion|David Caballero;Raphael Voituriez;Daniel Riveline|q-bio.CB|Many physiological phenomena involve directional cell migration. It is usually attributed to chemical gradients in vivo. Recently, other cues have been shown to guide cells in vitro, including stiffness/adhesion gradients or micro-patterned adhesive motifs. However, the cellular mechanism leading to these biased migrations remains unknown, and, often, even the direction of motion is unpredictable. In this study, we show the key role of fluctuating protrusions on ratchet-like structures in driving NIH3T3 cell migration. We identified the concept of efficient protrusion and an associated direction index. Our analysis of the protrusion statistics facilitated the quantitative prediction of cell trajectories in all investigated conditions. We varied the external cues by changing the adhesive patterns. We also modified the internal cues using drug treatments, which modified the protrusion activity. Stochasticity affects the short- and long-term steps. We developed a theoretical model showing that an asymmetry in the protrusion fluctuations is sufficient for predicting all measures associated with the long-term motion, which can be described as a biased persistent random walk.|2013-10-28T18:18:18Z|2014-07-18T17:10:02Z|q-bio
http://arxiv.org/abs/1912.04185v2|Not so fast: LB-1 is unlikely to contain a 70 $M_{\odot}$ black hole|Kareem El-Badry;Eliot Quataert|astro-ph.SR|"The recently discovered binary LB-1 has been reported to contain a $\sim$\,$70\,M_{\odot}$ black hole (BH). The evidence for the unprecedentedly high mass of the unseen companion comes from reported radial velocity (RV) variability of the H$\alpha$ emission line, which has been proposed to originate from an accretion disk around a BH. We show that there is in fact no evidence for RV variability of the H$\alpha$ emission line, and that its apparent shifts instead originate from shifts in the luminous star's H$\alpha$ absorption line. If not accounted for, such shifts will cause a stationary emission line to appear to shift in anti-phase with the luminous star. We show that once the template spectrum of a B star is subtracted from the observed Keck/HIRES spectra of LB-1, evidence for RV variability vanishes. Indeed, the data rule out periodic variability of the line with velocity semi-amplitude $K_{\rm H\alpha} > 1.3\,\rm km\,s^{-1}$. This strongly suggests that the observed H$\alpha$ emission does not originate primarily from an accretion disk around a BH, and thus that the mass ratio cannot be constrained from the relative velocity amplitudes of the emission and absorption lines. The nature of the unseen companion remains uncertain, but a ""normal"" stellar-mass BH with mass $5\lesssim M/M_{\odot}\lesssim 20 $ seems most plausible. The H$\alpha$ emission likely originates primarily from circumbinary material, not from either component of the binary."|2019-12-09T17:05:08Z|2020-01-03T16:40:57Z|astro-ph
http://arxiv.org/abs/1706.08479v2|A Partial Solution to Continuous Blotto|Kostyantyn Mazur|q-fin.EC|This paper analyzes the structure of mixed-strategy equilibria for Colonel Blotto games, where the outcome on each battlefield is a polynomial function of the difference between the two players' allocations. This paper severely reduces the set of strategies that needs to be searched to find a Nash equilibrium. It finds that there exists a Nash equilibrium where both players' mixed strategies are discrete distributions, and it places an upper bound on the number of points in the supports of these discrete distributions.|2017-06-07T22:08:05Z|2017-09-14T04:55:18Z|q-fin
http://arxiv.org/abs/1508.00459v1|Unsupervised Learning in Genome Informatics|Ka-Chun Wong;Yue Li;Zhaolei Zhang|q-bio.GN|With different genomes available, unsupervised learning algorithms are essential in learning genome-wide biological insights. Especially, the functional characterization of different genomes is essential for us to understand lives. In this book chapter, we review the state-of-the-art unsupervised learning algorithms for genome informatics from DNA to MicroRNA.   DNA (DeoxyriboNucleic Acid) is the basic component of genomes. A significant fraction of DNA regions (transcription factor binding sites) are bound by proteins (transcription factors) to regulate gene expression at different development stages in different tissues. To fully understand genetics, it is necessary of us to apply unsupervised learning algorithms to learn and infer those DNA regions. Here we review several unsupervised learning methods for deciphering the genome-wide patterns of those DNA regions.   MicroRNA (miRNA), a class of small endogenous non-coding RNA (RiboNucleic acid) species, regulate gene expression post-transcriptionally by forming imperfect base-pair with the target sites primarily at the 3$'$ untranslated regions of the messenger RNAs. Since the 1993 discovery of the first miRNA \emph{let-7} in worms, a vast amount of studies have been dedicated to functionally characterizing the functional impacts of miRNA in a network context to understand complex diseases such as cancer. Here we review several representative unsupervised learning frameworks on inferring miRNA regulatory network by exploiting the static sequence-based information pertinent to the prior knowledge of miRNA targeting and the dynamic information of miRNA activities implicated by the recently available large data compendia, which interrogate genome-wide expression profiles of miRNAs and/or mRNAs across various cell conditions.|2015-08-03T15:52:38Z|2015-08-03T15:52:38Z|q-bio
http://arxiv.org/abs/1807.09660v1|Hospitality Students' Perceptions towards Working in Hotels: a case   study of the faculty of tourism and hotels in Alexandria University|Sayed El-Houshy|econ.GN|The tourism and hospitality industry worldwide has been confronted with the problem of attracting and retaining quality employees. If today's students are to become the effective practitioners of tomorrow, it is fundamental to understand their perceptions of tourism employment. Therefore, this research aims at investigating the perceptions of hospitality students at the Faculty of Tourism in Alexandria University towards the industry as a career choice. A self-administrated questionnaire was developed to rate the importance of 20 factors in influencing career choice, and the extent to which hospitality as a career offers these factors. From the results, it is clear that students generally do not believe that the hospitality career will offer them the factors they found important. However, most of respondents (70.6%) indicated that they would work in the industry after graduation. Finally, a set of specific remedial actions that hospitality stakeholders could initiate to improve the perceptions of hospitality career are discussed.|2018-07-22T12:17:00Z|2018-07-22T12:17:00Z|econ
http://arxiv.org/abs/1905.10330v1|Dirac Delta Regression: Conditional Density Estimation with Clinical   Trials|Eric V. Strobl;Shyam Visweswaran|stat.ML|Personalized medicine seeks to identify the causal effect of treatment for a particular patient as opposed to a clinical population at large. Most investigators estimate such personalized treatment effects by regressing the outcome of a randomized clinical trial (RCT) on patient covariates. The realized value of the outcome may however lie far from the conditional expectation. We therefore introduce a method called Dirac Delta Regression (DDR) that estimates the entire conditional density from RCT data in order to visualize the probabilities across all possible treatment outcomes. DDR transforms the outcome into a set of asymptotically Dirac delta distributions and then estimates the density using non-linear regression. The algorithm can identify significant patient-specific treatment effects even when no population level effect exists. Moreover, DDR outperforms state-of-the-art algorithms in conditional density estimation on average regardless of the need for causal inference.|2019-05-24T16:42:56Z|2019-05-24T16:42:56Z|stat
http://arxiv.org/abs/1206.6979v1|The supernovae associated with gamma-ray bursts|David Bersier|astro-ph.HE|The connection between long GRBs and supernovae is now well established. I briefly review the evidence in favor of this connection and summarise where we are observationally. I also use a few events to exemplify what should be done and what type of data are needed. I also look at what we can learn from looking at SNe not associated with GRBs and see how GRBs fit into the broad picture of stellar explosions.|2012-06-29T10:36:07Z|2012-06-29T10:36:07Z|astro-ph
http://arxiv.org/abs/1507.06379v1|On the distribution and swim pressure of run-and-tumble particles in   confinement|Barath Ezhilan;Roberto Alonso-Matilla;David Saintillan|physics.flu-dyn|The spatial and orientational distribution in a dilute active suspension of non-Brownian run-and-tumble spherical swimmers confined between two planar hard walls is calculated theoretically. Using a kinetic model based on coupled bulk/surface probability density functions, we demonstrate the existence of a concentration wall boundary layer with thickness scaling with the run length, the absence of polarization throughout the channel, and the presence of sharp discontinuities in the bulk orientation distribution in the neighborhood of orientations parallel to the wall in the near-wall region. Our model is also applied to calculate the swim pressure in the system, which approaches the previously proposed ideal-gas behavior in wide channels but is found to decrease in narrow channels as a result of confinement. Monte-Carlo simulations are also performed for validation and show excellent quantitative agreement with our theoretical predictions.|2015-07-23T03:51:03Z|2015-07-23T03:51:03Z|physics
http://arxiv.org/abs/1809.06824v2|Matching in Dynamic Imbalanced Markets|Itai Ashlagi;Afshin Nikzad;Philipp Strack|econ.TH|We study dynamic matching in exchange markets with easy- and hard-to-match agents. A greedy policy, which attempts to match agents upon arrival, ignores the positive externality that waiting agents generate by facilitating future matchings. We prove that this trade-off between a ``thicker'' market and faster matching vanishes in large markets; A greedy policy leads to shorter waiting times, and more agents matched than any other policy. We empirically confirm these findings in data from the National Kidney Registry. Greedy matching achieves as many transplants as commonly-used policies (1.6\% more than monthly-batching), and shorter patient waiting times.|2018-09-18T16:45:09Z|2019-06-13T16:09:41Z|econ
http://arxiv.org/abs/1911.13063v1|Semiparametric Quantile Models for Ascending Auctions with Asymmetric   Bidders|Jayeeta Bhattacharya;Nathalie Gimenes;Emmanuel Guerre|econ.EM|The paper proposes a parsimonious and flexible semiparametric quantile regression specification for asymmetric bidders within the independent private value framework. Asymmetry is parameterized using powers of a parent private value distribution, which is generated by a quantile regression specification. As noted in Cantillon (2008), this covers and extends models used for efficient collusion, joint bidding and mergers among homogeneous bidders. The specification can be estimated for ascending auctions using the winning bids and the winner's identity. The estimation is two stage. The asymmetry parameters are estimated from the winner's identity using a simple maximum likelihood procedure. The parent quantile regression specification can be estimated using simple modifications of Gimenes (2017). A timber application reveals that weaker bidders have 30\% less chances to win the auction than stronger ones. It is also found that increasing participation in an asymmetric ascending auction may not be as beneficial as using an optimal reserve price as would have been expected from a result of Bulow and Klemperer (1996) valid under symmetry.|2019-11-29T11:24:48Z|2019-11-29T11:24:48Z|econ
http://arxiv.org/abs/1308.4951v1|Genome wide signals of pervasive positive selection in human evolution|David Enard;Philipp W. Messer;Dmitri Petrov|q-bio.PE|The role of positive selection in human evolution remains controversial. On the one hand, scans for positive selection have identified hundreds of candidate loci and the genome-wide patterns of polymorphism show signatures consistent with frequent positive selection. On the other hand, recent studies have argued that many of the candidate loci are false positives and that most apparent genome-wide signatures of adaptation are in fact due to reduction of neutral diversity by linked recurrent deleterious mutations, known as background selection. Here we analyze human polymorphism data from the 1,000 Genomes project (Abecasis et al. 2012) and detect signatures of pervasive positive selection once we correct for the effects of background selection. We show that levels of neutral polymorphism are lower near amino acid substitutions, with the strongest reduction observed specifically near functionally consequential amino acid substitutions. Furthermore, amino acid substitutions are associated with signatures of recent adaptation that should not be generated by background selection, such as the presence of unusually long and frequent haplotypes and specific distortions in the site frequency spectrum. We use forward simulations to show that the observed signatures require a high rate of strongly adaptive substitutions in the vicinity of the amino acid changes. We further demonstrate that the observed signatures of positive selection correlate more strongly with the presence of regulatory sequences, as predicted by ENCODE (Gerstein et al. 2012), than the positions of amino acid substitutions. Our results establish that adaptation was frequent in human evolution and provide support for the hypothesis of King and Wilson (King and Wilson 1975) that adaptive divergence is primarily driven by regulatory changes.|2013-08-22T18:38:52Z|2013-08-22T18:38:52Z|q-bio
http://arxiv.org/abs/1603.06727v1|Derivatives of isotropic positive definite functions on spheres|Mara Trübner;Johanna F. Ziegel|math.ST|We show that isotropic positive definite functions on the $d$-dimensional sphere which are $2k$ times differentiable at zero have $2k+[(d-1)/2]$ continuous derivatives on $(0,\pi)$. This result is analogous to the result for radial positive definite functions on Euclidean spaces. We prove optimality of the result for all odd dimensions. The proof relies on mont\'ee, descente and turning bands operators on spheres which parallel the corresponding operators originating in the work of Matheron for radial positive definite functions on Euclidian spaces.|2016-03-22T10:35:14Z|2016-03-22T10:35:14Z|math
http://arxiv.org/abs/1903.10965v1|Improving the Scalability of a Prosumer Cooperative Game with K-Means   Clustering|Liyang Han;Thomas Morstyn;Constance Crozier;Malcolm McCulloch|cs.CE|"Among the various market structures under peer-to-peer energy sharing, one model based on cooperative game theory provides clear incentives for prosumers to collaboratively schedule their energy resources. The computational complexity of this model, however, increases exponentially with the number of participants. To address this issue, this paper proposes the application of K-means clustering to the energy profiles following the grand coalition optimization. The cooperative model is run with the ""clustered players"" to compute their payoff allocations, which are then further distributed among the prosumers within each cluster. Case studies show that the proposed method can significantly improve the scalability of the cooperative scheme while maintaining a high level of financial incentives for the prosumers."|2019-03-26T15:44:16Z|2019-03-26T15:44:16Z|cs
http://arxiv.org/abs/1507.06370v2|Sum-of-Squares Lower Bounds for Sparse PCA|Tengyu Ma;Avi Wigderson|cs.LG|"This paper establishes a statistical versus computational trade-off for solving a basic high-dimensional machine learning problem via a basic convex relaxation method. Specifically, we consider the {\em Sparse Principal Component Analysis} (Sparse PCA) problem, and the family of {\em Sum-of-Squares} (SoS, aka Lasserre/Parillo) convex relaxations. It was well known that in large dimension $p$, a planted $k$-sparse unit vector can be {\em in principle} detected using only $n \approx k\log p$ (Gaussian or Bernoulli) samples, but all {\em efficient} (polynomial time) algorithms known require $n \approx k^2$ samples. It was also known that this quadratic gap cannot be improved by the the most basic {\em semi-definite} (SDP, aka spectral) relaxation, equivalent to a degree-2 SoS algorithms. Here we prove that also degree-4 SoS algorithms cannot improve this quadratic gap. This average-case lower bound adds to the small collection of hardness results in machine learning for this powerful family of convex relaxation algorithms. Moreover, our design of moments (or ""pseudo-expectations"") for this lower bound is quite different than previous lower bounds. Establishing lower bounds for higher degree SoS algorithms for remains a challenging problem."|2015-07-23T01:50:43Z|2015-10-18T05:50:16Z|cs
http://arxiv.org/abs/1807.07360v1|Green function of a random walk in a cone|Jetlir Duraj;Vitali Wachtel|math.PR|This paper studies the asymptotic behavior of the Green function of a multidimensional random walk killed when leaving a convex cone with smooth boundary. Our results imply uniqueness, up to a multiplicative factor, of the positive harmonic function for the killed random walk.|2018-07-19T12:13:49Z|2018-07-19T12:13:49Z|math
http://arxiv.org/abs/1703.09283v1|Model atmospheres of sub-stellar mass objects|Ivan Hubeny|astro-ph.SR|We present an outline of basic assumptions and governing structural equations describing atmospheres of substellar mass objects, in particular the extrasolar giant planets and brown dwarfs. Although most of the presentation of the physical and numerical background is generic, details of the implementation pertain mostly to the code CoolTlusty. We also present a review of numerical approaches and computer codes devised to solve the structural equations, and make a critical evaluation of their efficiency and accuracy.|2017-03-27T19:43:16Z|2017-03-27T19:43:16Z|astro-ph
http://arxiv.org/abs/1907.01049v1|Permutation inference with a finite number of heterogeneous clusters|Andreas Hagemann|econ.EM|I introduce a simple permutation procedure to test conventional (non-sharp) hypotheses about the effect of a binary treatment in the presence of a finite number of large, heterogeneous clusters when the treatment effect is identified by comparisons across clusters. The procedure asymptotically controls size by applying a level-adjusted permutation test to a suitable statistic. The adjustments needed for most empirically relevant situations are tabulated in the paper. The adjusted permutation test is easy to implement in practice and performs well at conventional levels of significance with at least four treated clusters and a similar number of control clusters. It is particularly robust to situations where some clusters are much more variable than others. Examples and an empirical application are provided.|2019-07-01T20:15:04Z|2019-07-01T20:15:04Z|econ
http://arxiv.org/abs/1108.4879v1|Using Supervised Learning to Improve Monte Carlo Integral Estimation|Brendan Tracey;David Wolpert;Juan J. Alonso|stat.ML|Monte Carlo (MC) techniques are often used to estimate integrals of a multivariate function using randomly generated samples of the function. In light of the increasing interest in uncertainty quantification and robust design applications in aerospace engineering, the calculation of expected values of such functions (e.g. performance measures) becomes important. However, MC techniques often suffer from high variance and slow convergence as the number of samples increases. In this paper we present Stacked Monte Carlo (StackMC), a new method for post-processing an existing set of MC samples to improve the associated integral estimate. StackMC is based on the supervised learning techniques of fitting functions and cross validation. It should reduce the variance of any type of Monte Carlo integral estimate (simple sampling, importance sampling, quasi-Monte Carlo, MCMC, etc.) without adding bias. We report on an extensive set of experiments confirming that the StackMC estimate of an integral is more accurate than both the associated unprocessed Monte Carlo estimate and an estimate based on a functional fit to the MC samples. These experiments run over a wide variety of integration spaces, numbers of sample points, dimensions, and fitting functions. In particular, we apply StackMC in estimating the expected value of the fuel burn metric of future commercial aircraft and in estimating sonic boom loudness measures. We compare the efficiency of StackMC with that of more standard methods and show that for negligible additional computational cost significant increases in accuracy are gained.|2011-08-24T16:22:55Z|2011-08-24T16:22:55Z|stat
http://arxiv.org/abs/1809.03834v1|House Price Modeling with Digital Census|Enwei Zhu;Stanislav Sobolevsky|econ.EM|"Urban house prices are strongly associated with local socioeconomic factors. In literature, house price modeling is based on socioeconomic variables from traditional census, which is not real-time, dynamic and comprehensive. Inspired by the emerging concept of ""digital census"" - using large-scale digital records of human activities to measure urban population dynamics and socioeconomic conditions, we introduce three typical datasets, namely 311 complaints, crime complaints and taxi trips, into house price modeling. Based on the individual housing sales data in New York City, we provide comprehensive evidence that these digital census datasets can substantially improve the modeling performances on both house price levels and changes, regardless whether traditional census is included or not. Hence, digital census can serve as both effective alternatives and complements to traditional census for house price modeling."|2018-08-29T16:13:58Z|2018-08-29T16:13:58Z|econ
http://arxiv.org/abs/1904.09195v2|Smoothing of the slowly extracted coasting beam from a synchrotron|Rahul Singh;Peter Forck;Stefan Sorge|physics.acc-ph|Slow extraction of beam from synchrotrons or storage rings as required by many fixed target experiments is performed by controlled excitation and feeding of a structural lattice resonance. Due to the sensitive nature of this resonant extraction process, the temporal structure of the extracted beam is modulated by the minuscule current fluctuations present on the quadrupole magnet power supplies. Such a modulation lead to pile-ups in detectors and a significant reduction in accumulated event statistics. This contribution proposes and experimentally demonstrates that by an introduction of further modulation on quadrupole currents with a specific amplitude and frequency, the inherent power supply fluctuations are mitigated leading to a smoothening of the beam temporal structure. The slow extraction beam dynamics associated with this method are explained along with the operational results.|2019-04-19T13:30:28Z|2019-07-31T11:12:23Z|physics
http://arxiv.org/abs/1403.4291v3|An importance sampling approach for copula models in insurance|Philipp Arbenz;Mathieu Cambou;Marius Hofert|stat.CO|An importance sampling approach for sampling copula models is introduced. We propose two algorithms that improve Monte Carlo estimators when the functional of interest depends mainly on the behaviour of the underlying random vector when at least one of the components is large. Such problems often arise from dependence models in finance and insurance. The importance sampling framework we propose is general and can be easily implemented for all classes of copula models from which sampling is feasible. We show how the proposal distribution of the two algorithms can be optimized to reduce the sampling error. In a case study inspired by a typical multivariate insurance application, we obtain variance reduction factors between 10 and 30 in comparison to standard Monte Carlo estimators.|2014-03-17T22:28:14Z|2015-04-07T17:57:36Z|stat
http://arxiv.org/abs/1908.06602v1|Beta-Binomial stick-breaking non-parametric prior|María F. Gil-Leyva;Ramsés H. Mena;Theodoros Nicoleris|math.ST|A new class of nonparametric prior distributions, termed Beta-Binomial stick-breaking process, is proposed. By allowing the underlying length random variables to be dependent through a Beta marginals Markov chain, an appealing discrete random probability measure arises. The chain's dependence parameter controls the ordering of the stick-breaking weights, and thus tunes the model's label-switching ability. Also, by tuning this parameter, the resulting class contains the Dirichlet process and the Geometric process priors as particular cases, which is of interest for fast convergence of MCMC implementations.   Some properties of the model are discussed and a density estimation algorithm is proposed and tested with simulated datasets.|2019-08-19T05:48:11Z|2019-08-19T05:48:11Z|math
http://arxiv.org/abs/1005.1862v4|On the estimation of integrated covariance matrices of high dimensional   diffusion processes|Xinghua Zheng;Yingying Li|stat.ME|We consider the estimation of integrated covariance (ICV) matrices of high dimensional diffusion processes based on high frequency observations. We start by studying the most commonly used estimator, the realized covariance (RCV) matrix. We show that in the high dimensional case when the dimension $p$ and the observation frequency $n$ grow in the same rate, the limiting spectral distribution (LSD) of RCV depends on the covolatility process not only through the targeting ICV, but also on how the covolatility process varies in time. We establish a Mar\v{c}enko--Pastur type theorem for weighted sample covariance matrices, based on which we obtain a Mar\v{c}enko--Pastur type theorem for RCV for a class $\mathcal{C}$ of diffusion processes. The results explicitly demonstrate how the time variability of the covolatility process affects the LSD of RCV. We further propose an alternative estimator, the time-variation adjusted realized covariance (TVARCV) matrix. We show that for processes in class $\mathcal {C}$, the TVARCV possesses the desirable property that its LSD depends solely on that of the targeting ICV through the Mar\v{c}enko--Pastur equation, and hence, in particular, the TVARCV can be used to recover the empirical spectral distribution of the ICV by using existing algorithms.|2010-05-11T15:29:29Z|2012-03-13T08:38:31Z|stat
http://arxiv.org/abs/math/0602451v1|Optimal consumption in discrete-time financial models with industrial   investment opportunities and nonlinear returns|Bruno Bouchard;Huyên Pham|math.PR|We consider a general discrete-time financial market with proportional transaction costs as in [Kabanov, Stricker and R\'{a}sonyi Finance and Stochastics 7 (2003) 403--411] and [Schachermayer Math. Finance 14 (2004) 19--48]. In addition to the usual investment in financial assets, we assume that the agents can invest part of their wealth in industrial projects that yield a nonlinear random return. We study the problem of maximizing the utility of consumption on a finite time period. The main difficulty comes from the nonlinearity of the nonfinancial assets' return. Our main result is to show that existence holds in the utility maximization problem. As an intermediary step, we prove the closedness of the set $A_T$ of attainable claims under a robust no-arbitrage property similar to the one introduced in [Schachermayer Math. Finance 14 (2004) 19--48] and further discussed in [Kabanov, Stricker and R\'{a}sonyi Finance and Stochastics 7 (2003) 403--411]. This allows us to provide a dual formulation for $A_T$.|2006-02-21T09:22:28Z|2006-02-21T09:22:28Z|math
